,level_0,index,price,year,manufacturer,model,condition,cylinders,odometer,transmission,type,state,age,Condition,Cylinders,Manufacturer,Transmission,Model,Type,bin
0,0,3468,7999,2012.0,subaru,legacy,excellent,4 cylinders,122120.0,automatic,sedan,va,8.0,3,4,0,0,0,0,120000-130000
1,1,3652,2800,2004.0,toyota,camry le,good,4 cylinders,191000.0,automatic,sedan,va,16.0,2,4,1,0,1,0,190000-200000
2,2,3654,9450,2012.0,volvo,s80,like new,6 cylinders,92000.0,automatic,sedan,va,8.0,4,6,2,0,2,0,90000-100000
3,3,3677,2100,2002.0,volkswagen,new beetle gls,excellent,4 cylinders,141840.0,automatic,hatchback,va,18.0,3,4,3,0,3,1,140000-150000
4,4,3678,2900,2010.0,hyundai,elantra gls wagon,good,4 cylinders,186650.0,automatic,wagon,va,10.0,2,4,4,0,4,2,180000-190000
5,5,3687,36600,2017.0,nissan,titan xd crew cab,good,8 cylinders,35397.0,other,pickup,va,3.0,2,8,5,1,5,3,30000-40000
6,6,3688,26100,2015.0,ram,1500 quad cab tradesman,good,8 cylinders,39098.0,other,pickup,va,5.0,2,8,6,1,6,3,30000-40000
7,7,3695,17200,2013.0,infiniti,jx jx35 sport utility,good,6 cylinders,92698.0,automatic,other,va,7.0,2,6,7,0,7,4,90000-100000
8,8,3696,11000,2015.0,chrysler,200,good,6 cylinders,102500.0,automatic,sedan,va,5.0,2,6,8,0,8,0,100000-110000
9,9,3704,14500,2017.0,chevrolet,colorado ext cab,excellent,4 cylinders,29182.0,manual,truck,va,3.0,3,4,9,2,9,5,20000-30000
10,10,3711,20000,2015.0,toyota,sequoia,good,8 cylinders,145000.0,automatic,SUV,va,5.0,2,8,1,0,10,6,140000-150000
11,11,3715,8975,2011.0,jeep,grand cherokee laredo,good,6 cylinders,122307.0,automatic,SUV,va,9.0,2,6,10,0,11,6,120000-130000
12,12,3716,6995,2010.0,nissan,murano s,good,6 cylinders,153157.0,automatic,SUV,va,10.0,2,6,5,0,12,6,150000-160000
13,13,3718,5000,2006.0,dodge,caravan,excellent,6 cylinders,77650.0,automatic,van,va,14.0,3,6,11,0,13,7,70000-80000
14,14,3731,15900,2017.0,mazda,6,like new,4 cylinders,5500.0,manual,sedan,va,3.0,4,4,12,2,14,0,0-10000
15,15,3733,6500,2008.0,ford,mustang,good,6 cylinders,117760.0,automatic,coupe,va,12.0,2,6,13,0,15,8,110000-120000
16,16,3737,26500,2015.0,chevrolet,colorado crew cab,excellent,6 cylinders,38381.0,automatic,pickup,va,5.0,3,6,9,0,16,3,30000-40000
17,17,3745,25100,2014.0,chevrolet,silverado 1500 double,good,8 cylinders,58403.0,other,pickup,va,6.0,2,8,9,1,17,3,50000-60000
18,18,3759,16950,2014.0,chevrolet,silverado wt1500,good,6 cylinders,103000.0,automatic,truck,va,6.0,2,6,9,0,18,5,100000-110000
19,19,3764,32500,2017.0,ford,f150 supercrew cab xlt,good,8 cylinders,36373.0,automatic,pickup,va,3.0,2,8,13,0,19,3,30000-40000
20,20,3776,8995,2005.0,toyota,tundra,good,8 cylinders,172000.0,automatic,pickup,va,15.0,2,8,1,0,20,3,170000-180000
21,21,3777,22500,2006.0,ram,3500,excellent,8 cylinders,170000.0,automatic,pickup,va,14.0,3,8,6,0,21,3,170000-180000
22,22,3788,3800,2005.0,mazda,6,good,6 cylinders,151000.0,automatic,sedan,va,15.0,2,6,12,0,14,0,150000-160000
23,23,3789,9800,2002.0,toyota,land cruiser,excellent,8 cylinders,148000.0,automatic,SUV,va,18.0,3,8,1,0,22,6,140000-150000
24,24,3791,26500,2016.0,jeep,wrangler unlimited sport,like new,6 cylinders,32564.0,automatic,SUV,va,4.0,4,6,10,0,23,6,30000-40000
25,25,3792,3999,2001.0,honda,civic,good,4 cylinders,199153.0,other,coupe,va,19.0,2,4,14,1,24,8,190000-200000
26,26,3793,4999,2008.0,chevrolet,cobalt,good,4 cylinders,117135.0,automatic,sedan,va,12.0,2,4,9,0,25,0,110000-120000
27,27,3794,3999,2004.0,ford,expedition,good,8 cylinders,157622.0,automatic,SUV,va,16.0,2,8,13,0,26,6,150000-160000
28,28,3795,3999,2005.0,hyundai,sonata,good,4 cylinders,145868.0,automatic,sedan,va,15.0,2,4,4,0,27,0,140000-150000
29,29,3796,6495,2003.0,ford,explorer sport trac,good,6 cylinders,181902.0,automatic,truck,va,17.0,2,6,13,0,28,5,180000-190000
30,30,3797,33450,2016.0,chevrolet,tahoe,like new,8 cylinders,84500.0,automatic,SUV,va,4.0,4,8,9,0,29,6,80000-90000
31,31,3803,8699,2014.0,chrysler,town & country,like new,6 cylinders,126587.0,automatic,van,va,6.0,4,6,8,0,30,7,120000-130000
32,32,3804,17000,2013.0,toyota,4runner,good,6 cylinders,134000.0,automatic,SUV,va,7.0,2,6,1,0,31,6,130000-140000
33,33,3806,14500,2015.0,mercedes-benz,glk350,excellent,6 cylinders,73000.0,automatic,SUV,va,5.0,3,6,15,0,32,6,70000-80000
34,34,3815,4000,2001.0,lexus,es 300,good,6 cylinders,166115.0,automatic,sedan,va,19.0,2,6,16,0,33,0,160000-170000
35,35,3816,4500,2003.0,toyota,corolla,good,4 cylinders,125000.0,manual,sedan,va,17.0,2,4,1,2,34,0,120000-130000
36,36,3834,3000,2002.0,hyundai,xg350,excellent,6 cylinders,170002.0,automatic,sedan,va,18.0,3,6,4,0,35,0,170000-180000
37,37,3836,7800,2011.0,chevrolet,equinox,good,4 cylinders,175000.0,automatic,SUV,va,9.0,2,4,9,0,36,6,170000-180000
38,38,3837,6900,2011.0,subaru,legacy,like new,4 cylinders,114644.0,automatic,sedan,va,9.0,4,4,0,0,0,0,110000-120000
39,39,3854,12500,2011.0,volvo,s60,excellent,6 cylinders,86000.0,automatic,SUV,va,9.0,3,6,2,0,37,6,80000-90000
40,40,3855,8500,2008.0,mercedes-benz,benz gl450 4matic,excellent,8 cylinders,154900.0,automatic,SUV,va,12.0,3,8,15,0,38,6,150000-160000
41,41,3858,7749,2008.0,infiniti,m3x awd,excellent,6 cylinders,117634.0,automatic,sedan,va,12.0,3,6,7,0,39,0,110000-120000
42,42,3859,7990,2010.0,nissan,murano sl awd,excellent,6 cylinders,119623.0,automatic,SUV,va,10.0,3,6,5,0,40,6,110000-120000
43,43,3866,4400,2004.0,ram,1500,excellent,8 cylinders,192441.0,automatic,pickup,va,16.0,3,8,6,0,41,3,190000-200000
44,44,3874,5990,2008.0,honda,civic hybrid,excellent,4 cylinders,89224.0,automatic,sedan,va,12.0,3,4,14,0,42,0,80000-90000
45,45,3879,7795,2009.0,ford,f-150 stx super cab,good,8 cylinders,139941.0,automatic,pickup,va,11.0,2,8,13,0,43,3,130000-140000
46,46,3883,35200,2018.0,chevrolet,colorado crew cab zr2,good,6 cylinders,20299.0,other,pickup,va,2.0,2,6,9,1,44,3,20000-30000
47,47,3887,6995,2010.0,nissan,murano s,good,6 cylinders,153157.0,automatic,SUV,va,10.0,2,6,5,0,12,6,150000-160000
48,48,3889,3795,2006.0,mazda,5,good,4 cylinders,151000.0,automatic,SUV,va,14.0,2,4,12,0,45,6,150000-160000
49,49,3890,5995,2014.0,jeep,patriot latitude,good,4 cylinders,174000.0,automatic,SUV,va,6.0,2,4,10,0,46,6,170000-180000
50,50,3891,8975,2011.0,jeep,grand cherokee laredo,good,6 cylinders,122307.0,automatic,SUV,va,9.0,2,6,10,0,11,6,120000-130000
51,51,3892,5995,2006.0,acura,3.2tl,good,6 cylinders,176000.0,automatic,sedan,va,14.0,2,6,17,0,47,0,170000-180000
52,52,3893,7990,2007.0,honda,crv ex awd,excellent,4 cylinders,118250.0,automatic,SUV,va,13.0,3,4,14,0,48,6,110000-120000
53,53,3898,26500,2011.0,ford,f150 supercrew cab lariat,good,6 cylinders,60076.0,other,pickup,va,9.0,2,6,13,1,49,3,60000-70000
54,54,3901,20900,2017.0,buick,enclave convenience sport,good,6 cylinders,32540.0,automatic,other,va,3.0,2,6,18,0,50,4,30000-40000
55,55,3902,13600,2012.0,jeep,liberty sport suv 4d,good,6 cylinders,91668.0,other,other,va,8.0,2,6,10,1,51,4,90000-100000
56,56,3903,28350,2016.0,audi,s4,excellent,6 cylinders,42186.0,manual,sedan,va,4.0,3,6,19,2,52,0,40000-50000
57,57,3910,3000,2002.0,volkswagen,jetta,excellent,4 cylinders,124000.0,automatic,sedan,va,18.0,3,4,3,0,53,0,120000-130000
58,58,3925,5990,2009.0,nissan,altima 3.5 sl,excellent,6 cylinders,118713.0,automatic,sedan,va,11.0,3,6,5,0,54,0,110000-120000
59,59,3926,11950,2013.0,chevrolet,traverse lt,like new,6 cylinders,94300.0,automatic,SUV,va,7.0,4,6,9,0,55,6,90000-100000
60,60,3929,20000,2011.0,audi,s4,like new,6 cylinders,60000.0,automatic,sedan,va,9.0,4,6,19,0,52,0,60000-70000
61,61,3934,23300,2015.0,chevrolet,silverado 1500 double,good,8 cylinders,47851.0,other,pickup,va,5.0,2,8,9,1,17,3,40000-50000
62,62,3935,22900,2015.0,jeep,grand cherokee laredo sport,good,6 cylinders,51079.0,other,other,va,5.0,2,6,10,1,56,4,50000-60000
